basic_number,class_number,term,language
10008,1,"acetate of cellulose, unprocessed",en
10007,1,acetates [chemicals],en
10010,1,acetic anhydride,en
10011,1,acetone,en
10012,1,acetylene,en
10013,1,acetylene tetrachloride,en
10016,1,acid proof chemical compositions,en
10014,1,acids*,en
10251,1,acidulated water for recharging batteries / acidulated water for recharging accumulators,en
10461,1,"acrylic resins, unprocessed",en
10018,1,actinium,en
10025,1,activated carbon / activated charcoal,en
10731,1,active chemical ingredients,en
10741,1,active chemical ingredients for use in the manufacture of pharmaceuticals,en
10019,1,"additives, chemical, to drilling muds / chemical additives to drilling muds",en
10309,1,"additives, chemical, to fungicides / chemical additives to fungicides",en
10308,1,"additives, chemical, to insecticides / chemical additives to insecticides",en
10020,1,"additives, chemical, to motor fuel / chemical additives to motor fuel",en
10022,1,adhesive preparations for surgical bandages,en
10028,1,adhesives for billposting,en
10002,1,adhesives for industrial purposes,en
10203,1,adhesives for paperhanging / adhesives for wallpaper,en
10573,1,adhesives for wall tiles,en
10690,1,"adjuvants, other than for medical or veterinary purposes",en
10029,1,agar-agar for industrial purposes,en
10030,1,agglutinants for concrete,en
10031,1,"agricultural chemicals, except fungicides, herbicides, insecticides and parasiticides",en
10036,1,albumenized paper,en
10033,1,"albumin [animal or vegetable, raw material]",en
10040,1,alcohol for industrial purposes,en
10042,1,aldehydes*,en
10564,1,alginates for industrial purposes,en
10669,1,alginates for the food industry,en
10037,1,alkalies,en
10559,1,alkaline iodides for industrial purposes,en
10560,1,alkaline metals,en
10039,1,alkaline-earth metals,en
10562,1,alkaloids*,en
10052,1,alum,en
10046,1,alumina,en
10565,1,aluminium acetate*,en
10047,1,aluminium alum,en
10050,1,aluminium chloride,en
10048,1,aluminium hydrate,en
10051,1,aluminium iodide,en
10049,1,aluminium silicate,en
10054,1,americium,en
10558,1,ammonia [volatile alkali] for industrial purposes / volatile alkali [ammonia] for industrial purposes,en
10063,1,ammonia alum,en
10061,1,ammonia*,en
10060,1,ammoniacal salts,en
10062,1,ammonium aldehyde,en
10700,1,ammonium nitrate,en
10567,1,ammonium salts,en
10064,1,amyl acetate,en
10065,1,amyl alcohol,en
10067,1,anhydrides,en
10066,1,anhydrous ammonia,en
10069,1,animal albumen [raw material],en
10568,1,animal carbon,en
10165,1,animal carbon preparations,en
10068,1,animal charcoal,en
10738,1,animal extracts for the food industry,en
10710,1,animal manure,en
10070,1,anthranilic acid,en
10645,1,anti-boil preparations for engine coolants,en
10006,1,anti-frothing solutions for batteries / anti-frothing solutions for accumulators,en
10073,1,anti-incrustants,en
10071,1,anti-knock substances for internal combustion engines,en
10571,1,anti-sprouting preparations for vegetables,en
10523,1,anti-tarnishing chemicals for windows,en
10072,1,antifreeze,en
10074,1,antimony,en
10075,1,antimony oxide,en
10076,1,antimony sulfide,en
10693,1,antioxidants for use in manufacture,en
10694,1,antioxidants for use in the manufacture of cosmetics,en
10696,1,antioxidants for use in the manufacture of food supplements,en
10695,1,antioxidants for use in the manufacture of pharmaceuticals,en
10260,1,"antistatic preparations, other than for household purposes",en
10082,1,argon,en
10084,1,arsenic,en
10085,1,arsenious acid,en
10607,1,artificial sweeteners for industrial purposes,en
10733,1,artificial sweeteners for the food industry,en
10735,1,aspartame for industrial purposes,en
10736,1,aspartame for the food industry,en
10086,1,astatine,en
10004,1,auxiliary fluids for use with abrasives,en
10594,1,"bacterial preparations, other than for medical and veterinary use",en
10009,1,bacteriological preparations for acetification,en
10595,1,"bacteriological preparations, other than for medical and veterinary use",en
10101,1,barium,en
10104,1,barium compounds,en
10574,1,barium sulfate,en
10102,1,baryta,en
10103,1,baryta paper,en
10495,1,barytes,en
10106,1,bases [chemical preparations],en
10126,1,basic gallate of bismuth,en
10208,1,"bate for dressing skins / dressing, except oils, for skins",en
10108,1,bauxite,en
10121,1,beer clarifying agents,en
10619,1,beer preserving agents,en
10109,1,bentonite,en
10713,1,benzene,en
10111,1,benzene derivatives,en
10110,1,benzene-based acids,en
10112,1,benzoic acid,en
10113,1,benzoic sulfimide for industrial purposes,en
10714,1,benzol,en
10115,1,berkelium,en
10578,1,bicarbonate of soda for chemical purposes,en
10118,1,bichloride of tin,en
10119,1,bichromate of potassium,en
10120,1,bichromate of soda,en
10122,1,biochemical catalysts,en
10579,1,"biological preparations, other than for medical or veterinary purposes",en
10658,1,"biological tissue cultures, other than for medical or veterinary purposes",en
10720,1,biostimulants for plants,en
10334,1,birdlime,en
10125,1,bismuth,en
10494,1,bismuth subnitrate for chemical purposes,en
10168,1,blood charcoal,en
10225,1,blue vitriol / copper sulfate [blue vitriol],en
10434,1,blueprint cloth,en
10432,1,blueprint paper,en
10167,1,bone charcoal,en
10134,1,borax,en
10135,1,boric acid for industrial purposes,en
10739,1,"bouillons for bacteriological cultures, other than for medical or veterinary purposes / bacteriological culture mediums, other than for medical or veterinary purposes / media for bacteriological cultures, other than for medical or veterinary purposes",en
10315,1,brake fluid,en
10583,1,brazing fluxes,en
10137,1,brazing preparations,en
10381,1,"brickwork preservatives, except paints and oils",en
10585,1,bromine for chemical purposes,en
10460,1,by-products of the processing of cereals for industrial purposes,en
10163,1,caesium,en
10488,1,calcined soda,en
10152,1,calcium carbide,en
10141,1,calcium cyanamide [fertilizer] / calcium cyanamide [fertiliser],en
10510,1,calcium salts,en
10142,1,californium,en
10709,1,calomel [mercurous chloride],en
10638,1,camphor for industrial purposes,en
10151,1,carbides*,en
10586,1,carbolineum for the protection of plants,en
10148,1,carbon,en
10597,1,carbon black for industrial purposes,en
10732,1,carbon dioxide for industrial purposes,en
10149,1,carbon disulfide,en
10166,1,carbon for filters,en
10528,1,carbon tetrachloride,en
10146,1,carbonates,en
10150,1,carbonic acid,en
10357,1,carbonic hydrates,en
10591,1,casein for industrial purposes,en
10677,1,casein for the food industry,en
10153,1,cassiopium [lutetium] / lutetium [cassiopium],en
10154,1,catalysts,en
10139,1,catechu,en
10038,1,caustic alkali,en
10490,1,caustic soda for industrial purposes,en
10489,1,caustics for industrial purposes,en
10155,1,cellulose,en
10592,1,cellulose derivatives [chemicals],en
10590,1,cellulose esters for industrial purposes,en
10593,1,cellulose ethers for industrial purposes,en
10158,1,cement [metallurgy],en
10170,1,cement for footwear,en
10194,1,cement for mending broken articles,en
10196,1,"cement preservatives, except paints and oils",en
10195,1,"cement-waterproofing chemicals, except paints",en
10646,1,ceramic compositions for sintering [granules and powders],en
10160,1,ceramic glazings,en
10621,1,"ceramic materials in particulate form, for use as filtering media",en
10161,1,cerium,en
10654,1,chemical additives for oils,en
10708,1,chemical coatings for ophthalmic lenses,en
10015,1,chemical condensation preparations,en
10639,1,chemical intensifiers for paper,en
10640,1,chemical intensifiers for rubber,en
10045,1,chemical preparations for facilitating the alloying of metals,en
10177,1,"chemical preparations for scientific purposes, other than for medical or veterinary use",en
10317,1,chemical preparations for smoking meat,en
10211,1,chemical preparations for use in photography,en
10719,1,chemical preparations to prevent diseases affecting cereal plants,en
10546,1,chemical preparations to prevent diseases affecting vine plants,en
10395,1,chemical preparations to prevent mildew,en
10404,1,chemical preparations to prevent wheat blight / chemical preparations to prevent wheat smut,en
10178,1,"chemical reagents, other than for medical or veterinary purposes",en
10181,1,"chemical substances for analyses in laboratories, other than for medical or veterinary purposes / chemical preparations for analyses in laboratories, other than for medical or veterinary purposes",en
10044,1,chemical substances for preserving foodstuffs,en
10575,1,chemicals for the manufacture of paints,en
10679,1,chemicals for the manufacture of pigments,en
10505,1,"chemicals for use in forestry, except fungicides, herbicides, insecticides and parasiticides",en
10107,1,"chemicals, except pigments, for the manufacture of enamel",en
10174,1,"chimney cleaners, chemical",en
10182,1,chlorates,en
10554,1,chlorides,en
10183,1,chlorine,en
10186,1,cholic acid,en
10187,1,chromates,en
10188,1,chrome alum,en
10190,1,chrome salts,en
10191,1,chromic acid,en
10477,1,chromic salts,en
10189,1,chromium oxide,en
10598,1,"cinematographic film, sensitized but not exposed / cinematographic films, sensitized but not exposed",en
10199,1,citric acid for industrial purposes,en
10254,1,clarification preparations / purification preparations,en
10169,1,coal saving preparations,en
10599,1,cobalt oxide for industrial purposes,en
10688,1,collagen for industrial purposes,en
10206,1,collodion*,en
10570,1,colour-brightening chemicals for industrial purposes / color-brightening chemicals for industrial purposes,en
10001,1,combusting preparations [chemical additives to motor fuel],en
10032,1,compositions for repairing inner tubes of tyres / compositions for repairing inner tubes of tires,en
10465,1,compositions for repairing tyres / compositions for repairing tires,en
10603,1,compositions for the manufacture of phonograph records,en
10631,1,compositions for the manufacture of technical ceramics,en
10295,1,compositions for threading,en
10622,1,compost,en
10117,1,"concrete preservatives, except paints and oils",en
10116,1,concrete-aeration chemicals,en
10138,1,condensation-preventing chemicals,en
10722,1,conductive adhesives,en
10721,1,"conductive resins, unprocessed",en
10647,1,coolants for vehicle engines,en
10214,1,corrosive preparations,en
10219,1,cream of tartar for chemical purposes,en
10668,1,cream of tartar for industrial purposes,en
10667,1,cream of tartar for the food industry,en
10602,1,creosote for chemical purposes,en
10220,1,crotonic aldehyde,en
10221,1,cryogenic preparations,en
10596,1,"cultures of microorganisms, other than for medical and veterinary use",en
10226,1,curium,en
10215,1,currying preparations for leather,en
10216,1,currying preparations for skins,en
10228,1,cyanides [prussiates] / prussiates,en
10230,1,cymene,en
10617,1,"damp-proofing chemicals, except paints, for masonry",en
10580,1,decolorants for industrial purposes / bleaching preparations [decolorants] for industrial purposes,en
10236,1,defoliants,en
10231,1,degreasing preparations for use in manufacturing processes,en
10239,1,dehydrating preparations for industrial purposes,en
10718,1,dendrimer-based polymers for use in the manufacture of capsules for pharmaceuticals,en
10635,1,"descaling preparations, other than for household purposes",en
10021,1,detergent additives to petrol / detergent additives to gasoline,en
10241,1,detergents for use in manufacturing processes,en
10242,1,dextrin [size],en
10740,1,diagnostic preparations for research laboratory use,en
10243,1,"diagnostic preparations, other than for medical or veterinary purposes",en
10727,1,"diagnostic strips for testing breast milk, other than for medical or veterinary use",en
10244,1,diastase for industrial purposes,en
10632,1,diatomaceous earth,en
10245,1,diazo paper,en
10737,1,"dielectric fluids as a chemical preparation for use in metalworking, except oils",en
10240,1,disincrustants,en
10605,1,dispersions of plastics,en
10247,1,distilled water,en
10248,1,dolomite for industrial purposes,en
10136,1,drilling muds,en
10333,1,dry ice [carbon dioxide],en
10250,1,dysprosium,en
10650,1,electrophoresis gels,en
10609,1,emollients for industrial purposes,en
10268,1,emulsifiers,en
10265,1,enamel-staining chemicals,en
10089,1,engine-decarbonising chemicals / chemical preparations for decarbonising engines,en
10272,1,enzyme preparations for industrial purposes,en
10660,1,enzyme preparations for the food industry,en
10273,1,enzymes for industrial purposes,en
10661,1,enzymes for the food industry,en
10274,1,"epoxy resins, unprocessed",en
10276,1,erbium,en
10279,1,esters*,en
10280,1,ethane,en
10281,1,ethers*,en
10041,1,ethyl alcohol,en
10282,1,ethyl ether,en
10287,1,europium,en
10652,1,expanded clay for hydroponic plant growing [substrate],en
10339,1,fat-bleaching chemicals,en
10340,1,fatty acids,en
10291,1,ferments for chemical purposes,en
10159,1,fermium,en
10229,1,ferrocyanides,en
10292,1,ferrotype plates [photography],en
10271,1,fertilizers / fertilisers,en
10293,1,fertilizing preparations / fertilising preparations,en
10611,1,filtering materials of chemical substances,en
10612,1,filtering materials of mineral substances,en
10610,1,filtering materials of unprocessed plastics,en
10613,1,filtering materials of vegetable substances,en
10296,1,filtering preparations for the beverages industry,en
10017,1,finishing preparations for use in the manufacture of steel,en
10288,1,fire extinguishing compositions,en
10294,1,fireproofing preparations,en
10659,1,fish meal fertilizers / fish meal fertilisers,en
10180,1,fissionable chemical elements,en
10297,1,fissionable material for nuclear energy,en
10097,1,fixing baths [photography],en
10298,1,fixing solutions [photography],en
10256,1,flashlight preparations,en
10703,1,flavonoids [phenolic compounds] for industrial purposes,en
10587,1,flocculants,en
10289,1,flour for industrial purposes,en
10209,1,flower preservatives,en
10299,1,flowers of sulfur for chemical purposes,en
10197,1,fluids for hydraulic circuits / liquids for hydraulic circuits,en
10302,1,fluorine,en
10303,1,fluorspar compounds,en
10310,1,formic acid,en
10311,1,formic aldehyde for chemical purposes,en
10306,1,foundry binding substances,en
10307,1,foundry moulding preparations / foundry molding preparations,en
10467,1,foundry sand,en
10314,1,francium,en
10087,1,fuel for nuclear reactors,en
10257,1,fuel-saving preparations,en
10525,1,fuller's earth for use in the textile industry,en
10313,1,fulling preparations,en
10312,1,fulling preparations for use in the textile industry,en
10318,1,gadolinium,en
10320,1,gallic acid for the manufacture of ink,en
10321,1,gallium,en
10319,1,gallnuts,en
10323,1,gallotannic acid,en
10098,1,galvanizing baths / baths for galvanizing,en
10324,1,galvanizing preparations,en
10325,1,gambier,en
10275,1,gas purifying preparations / preparations for the purification of gas,en
10330,1,gelatine for industrial purposes,en
10329,1,gelatine for photographic purposes,en
10656,1,genes of seeds for agricultural production,en
10332,1,getters [chemically active substances],en
10386,1,glass-frosting chemicals,en
10521,1,glass-staining chemicals,en
10651,1,glaziers' putty,en
10614,1,glucose for industrial purposes,en
10662,1,glucose for the food industry,en
10335,1,glucosides,en
10600,1,glue for industrial purposes,en
10683,1,glutamic acid for industrial purposes,en
10615,1,"gluten [glue], other than for stationery or household purposes",en
10671,1,gluten for industrial purposes,en
10670,1,gluten for the food industry,en
10079,1,glutinous tree-grafting preparations / glutinous preparations for tree-banding / glutinous preparations for tree- grafting / glutinous tree-banding preparations,en
10336,1,glycerides,en
10252,1,glycerine for industrial purposes,en
10337,1,glycol,en
10283,1,glycol ether,en
10409,1,gold salts,en
10341,1,grafting mastic for trees,en
10198,1,grafting wax for trees,en
10715,1,graphene,en
10305,1,graphite for industrial purposes,en
10342,1,guano,en
10078,1,gum arabic for industrial purposes,en
10234,1,gum solvents / degumming preparations,en
10024,1,gum tragacanth for industrial purposes,en
10616,1,gums [adhesives] for industrial purposes,en
10343,1,gurjun balsam for use in the manufacture of varnish,en
10716,1,gypsum for use as a fertilizer,en
10253,1,heavy water,en
10344,1,helium,en
10345,1,holmium,en
10346,1,hormones for hastening the ripening of fruit,en
10347,1,"horticultural chemicals, except fungicides, herbicides, insecticides and parasiticides",en
10355,1,humus,en
10641,1,humus top dressing,en
10356,1,hydrates,en
10358,1,hydrazine,en
10184,1,hydrochlorates,en
10185,1,hydrochloric acid,en
10304,1,hydrofluoric acid,en
10359,1,hydrogen,en
10414,1,hydrogen peroxide for industrial purposes,en
10360,1,hypochlorite of soda,en
10361,1,hyposulfites,en
10176,1,industrial chemicals,en
10367,1,iodic acid,en
10365,1,iodine for chemical purposes,en
10368,1,iodine for industrial purposes,en
10034,1,iodised albumen,en
10366,1,iodised salts,en
10255,1,ion exchangers [chemicals],en
10290,1,iron salts,en
10618,1,"isinglass, other than for stationery, household or alimentary purposes",en
10369,1,isotopes for industrial purposes,en
10140,1,kainite,en
10370,1,kaolin / china clay / china slip,en
10164,1,ketones,en
10371,1,kieselgur,en
10372,1,krypton,en
10373,1,lactic acid,en
10674,1,lactose [raw material],en
10673,1,lactose for industrial purposes,en
10672,1,lactose for the food industry,en
10316,1,lamp black for industrial purposes,en
10375,1,lanthanum,en
10440,1,lead acetate,en
10083,1,lead arsenate,en
10441,1,lead oxide,en
10222,1,leather glues,en
10223,1,leather-dressing chemicals,en
10224,1,leather-impregnating chemicals,en
10175,1,leather-renovating chemicals,en
10364,1,leather-waterproofing chemicals,en
10588,1,lecithin [raw material],en
10664,1,lecithin for industrial purposes,en
10663,1,lecithin for the food industry,en
10171,1,lime acetate,en
10172,1,lime carbonate,en
10173,1,lime chloride,en
10301,1,limestone hardening substances,en
10500,1,liquids for removing sulfates from batteries / liquids for removing sulfates from accumulators,en
10378,1,lithia [lithium oxide],en
10379,1,lithium,en
10419,1,litmus paper,en
10527,1,loam,en
10723,1,lye water for the food industry,en
10382,1,magnesite,en
10147,1,magnesium carbonate,en
10383,1,magnesium chloride,en
10642,1,magnetic fluid for industrial purposes,en
10035,1,malt albumen,en
10384,1,manganate,en
10124,1,manganese dioxide,en
10385,1,mangrove bark for industrial purposes,en
10380,1,"masonry preservatives, except paints and oils",en
10192,1,mastic for leather,en
10193,1,mastic for tyres / mastic for tires,en
10545,1,meat tenderizers for industrial purposes,en
10389,1,mercuric oxide,en
10387,1,mercury,en
10388,1,mercury salts,en
10393,1,metal annealing preparations,en
10249,1,metal hardening preparations,en
10682,1,metal tempering preparations,en
10390,1,metalloids,en
10394,1,methane,en
10577,1,methyl benzene,en
10576,1,methyl benzol,en
10284,1,methyl ether,en
10374,1,milk ferments for chemical purposes,en
10676,1,milk ferments for industrial purposes,en
10675,1,milk ferments for the food industry,en
10396,1,mineral acids,en
10179,1,moderating materials for nuclear reactors,en
10127,1,moistening [wetting] preparations for use in bleaching / wetting preparations for use in bleaching,en
10398,1,moistening [wetting] preparations for use in dyeing / wetting preparations for use in dyeing,en
10530,1,moistening [wetting] preparations for use in the textile industry / wetting preparations for use in the textile industry,en
10633,1,mordants for metals,en
10237,1,mould-release preparations / mold-release preparations,en
10200,1,must-fining preparations,en
10717,1,nanopowders for industrial purposes,en
10399,1,naphthalene,en
10400,1,neodymium,en
10401,1,neon,en
10402,1,neptunium,en
10416,1,nitrate paper,en
10572,1,nitrates,en
10095,1,nitric acid,en
10092,1,nitrogen,en
10094,1,nitrogenous fertilizers / nitrogenous fertilisers,en
10093,1,nitrous oxide,en
10096,1,oenological bactericides [chemical preparations for use in wine making],en
10655,1,oil cement [putty],en
10352,1,oil dispersants,en
10353,1,oil-bleaching chemicals,en
10354,1,oil-purifying chemicals,en
10233,1,oil-separating chemicals,en
10601,1,oils for currying leather,en
10349,1,oils for preparing leather in the course of manufacture,en
10350,1,oils for tanning leather,en
10348,1,oils for the preservation of food,en
10407,1,oleic acid,en
10408,1,olivine [silicate mineral],en
10262,1,opacifiers for enamel,en
10263,1,opacifiers for glass,en
10686,1,organic digestate [fertilizer] / organic digestate [fertiliser],en
10411,1,oxalates,en
10412,1,oxalic acid,en
10413,1,oxygen for industrial purposes,en
10415,1,palladium chloride,en
10156,1,paper pulp,en
10649,1,paste fillers for automobile body repair / paste fillers for car body repair,en
10539,1,peat [fertilizer] / peat [fertiliser],en
10445,1,peat pots for horticulture,en
10420,1,pectin [photography],en
10666,1,pectin for industrial purposes,en
10665,1,pectin for the food industry,en
10421,1,perborate of soda,en
10422,1,percarbonates,en
10423,1,perchlorates,en
10424,1,persulfates,en
10425,1,persulfuric acid,en
10351,1,petroleum dispersants,en
10426,1,phenol for industrial purposes,en
10427,1,phosphates [fertilizers] / phosphates [fertilisers],en
10429,1,phosphatides,en
10433,1,phosphoric acid,en
10430,1,phosphorus,en
10435,1,photographic developers,en
10267,1,photographic emulsions,en
10322,1,photographic paper,en
10436,1,photographic sensitizers,en
10417,1,photometric paper,en
10213,1,photosensitive plates,en
10437,1,picric acid,en
10728,1,"plant extracts, other than essential oils, for the food industry",en
10729,1,"plant extracts, other than essential oils, for use in the manufacture of cosmetics",en
10730,1,"plant extracts, other than essential oils, for use in the manufacture of pharmaceuticals",en
10634,1,plant growth regulating preparations,en
10143,1,plasticizers,en
10438,1,"plastics, unprocessed",en
10439,1,plastisols,en
10442,1,plutonium,en
10238,1,polish removing substances / substances for removing polish,en
10443,1,polonium,en
10707,1,"polymer resins, unprocessed",en
10446,1,potash,en
10448,1,potash water,en
10447,1,potassium,en
10123,1,potassium dioxalate,en
10444,1,potato flour for industrial purposes,en
10681,1,potting soil,en
10643,1,power steering fluid,en
10449,1,praseodymium,en
10522,1,preparations for preventing the tarnishing of glass,en
10377,1,preparations for preventing the tarnishing of lenses,en
10557,1,preparations for stimulating cooking for industrial purposes,en
10604,1,preparations for the separation of greases,en
10680,1,"preparations of microorganisms, other than for medical and veterinary use",en
10582,1,preparations of the distillation of wood alcohol,en
10637,1,preparations of trace elements for plants,en
10540,1,"preservatives for tiles, except paints and oils",en
10210,1,preservatives for use in the pharmaceutical industry,en
10450,1,promethium,en
10026,1,propellant gases for aerosols,en
10451,1,protactinium,en
10326,1,protective gases for welding,en
10452,1,protein [raw material],en
10699,1,proteins for the food industry,en
10697,1,proteins for use in manufacture,en
10698,1,proteins for use in the manufacture of food supplements,en
10453,1,pyrogallic acid,en
10454,1,quebracho for industrial purposes,en
10648,1,radiator flushing chemicals,en
10456,1,radioactive elements for scientific purposes,en
10458,1,radium for scientific purposes,en
10457,1,radon,en
10526,1,rare earths,en
10259,1,"reagent paper, other than for medical or veterinary purposes",en
10027,1,reducing agents for use in photography,en
10459,1,refrigerants,en
10246,1,renovating preparations for phonograph records,en
10463,1,rhenium,en
10331,1,rock salt,en
10145,1,rubber preservatives,en
10466,1,rubidium,en
10114,1,saccharin for industrial purposes,en
10734,1,saccharin for the food industry,en
10057,1,sal ammoniac,en
10678,1,sal ammoniac spirits,en
10468,1,salicylic acid,en
10003,1,"salt for preserving, other than for foodstuffs",en
10476,1,"salt, raw",en
10469,1,saltpeter / salpetre,en
10475,1,salts [chemical preparations],en
10478,1,salts [fertilizers] / salts [fertilisers],en
10207,1,salts for colouring metal / salts for coloring metal,en
10261,1,salts for galvanic cells / salts for galvanic batteries,en
10397,1,salts for industrial purposes,en
10162,1,salts from rare earth metals,en
10561,1,salts of alkaline metals,en
10391,1,salts of precious metals for industrial purposes,en
10470,1,samarium,en
10473,1,scandium,en
10636,1,seawater for industrial purposes,en
10043,1,seaweeds [fertilizers] / seaweeds [fertilisers],en
10474,1,sebacic acid,en
10480,1,seed preserving substances,en
10479,1,selenium,en
10090,1,self-toning paper [photography],en
10212,1,sensitized cloth for photography,en
10581,1,"sensitized films, unexposed",en
10418,1,sensitized paper,en
10269,1,sensitized photographic plates,en
10406,1,sensitized plates for offset printing,en
10232,1,separating and unsticking [ungluing] preparations / ungluing preparations / unsticking and separating preparations,en
10481,1,silicates,en
10483,1,silicon,en
10689,1,silicon carbide [raw material],en
10484,1,silicones,en
10569,1,silver nitrate,en
10081,1,silver salt solutions for silvering,en
10202,1,size for finishing and priming,en
10077,1,size for use in the textile industry,en
10270,1,sizing preparations,en
10428,1,slag [fertilizers] / slag [fertilisers],en
10472,1,soap [metallic] for industrial purposes,en
10100,1,soda ash,en
10485,1,sodium,en
10491,1,sodium salts [chemical compounds],en
10053,1,soil conditioning preparations,en
10524,1,soil for growing,en
10487,1,soldering chemicals / welding chemicals,en
10584,1,soldering fluxes,en
10328,1,solidified gases for industrial purposes,en
10227,1,solutions for cyanotyping,en
10606,1,solvents for varnishes,en
10499,1,soot for industrial or agricultural purposes,en
10410,1,sorrel salt,en
10496,1,spinel [oxide mineral],en
10058,1,spirits of salt,en
10277,1,spirits of vinegar [dilute acetic acid],en
10286,1,stain-preventing chemicals for use on fabrics,en
10055,1,starch for industrial purposes,en
10566,1,"starch paste [adhesive], other than for stationery or household purposes",en
10056,1,starch-liquifying chemicals [ungluing agents] / ungluing agents [chemical preparations for liquifying starch],en
10497,1,stearic acid,en
10657,1,"stem cells, other than for medical or veterinary purposes",en
10498,1,strontium,en
10105,1,substances for preventing runs in stockings,en
10589,1,substrates for soil-free growing [agriculture],en
10555,1,sulfates,en
10486,1,sulfides,en
10501,1,sulfonic acids,en
10493,1,sulfur,en
10503,1,sulfuric acid,en
10285,1,sulfuric ether,en
10502,1,sulfurous acid,en
10504,1,sumac for use in tanning,en
10431,1,superphosphates [fertilizers] / superphosphates [fertilisers],en
10620,1,synthetic materials for absorbing oil,en
10455,1,"synthetic resins, unprocessed / artificial resins, unprocessed",en
10506,1,talc [magnesium silicate],en
10507,1,tan,en
10130,1,tan-wood,en
10511,1,tannic acid,en
10508,1,tannin,en
10509,1,tanning substances,en
10512,1,tapioca flour for industrial purposes,en
10514,1,"tartar, other than for pharmaceutical purposes",en
10515,1,tartaric acid,en
10685,1,tea extracts for the food industry,en
10687,1,tea extracts for use in the manufacture of cosmetics,en
10684,1,tea extracts for use in the manufacture of pharmaceuticals,en
10516,1,technetium,en
10517,1,tellurium,en
10518,1,tensio-active agents / surface-active chemical agents,en
10519,1,terbium,en
10278,1,"test paper, chemical",en
10529,1,tetrachlorides,en
10091,1,textile-brightening chemicals,en
10363,1,textile-impregnating chemicals,en
10362,1,textile-waterproofing chemicals,en
10532,1,thallium,en
10726,1,thermal paste,en
10533,1,thiocarbanilide,en
10535,1,thorium,en
10534,1,thulium,en
10704,1,thymol for industrial purposes,en
10537,1,titanite,en
10536,1,titanium dioxide for industrial purposes,en
10538,1,toluol / toluene,en
10099,1,toning baths [photography],en
10548,1,toning salts [photography],en
10705,1,topsoil,en
10403,1,toxic gas neutralizers,en
10644,1,transmission fluid,en
10706,1,transmission oil,en
10080,1,tree cavity fillers [forestry],en
10541,1,tungstic acid,en
10542,1,uranium,en
10405,1,uranium nitrate,en
10543,1,uranium oxide,en
10547,1,vinic alcohol,en
10742,1,"viruses, other than for medical and veterinary purposes",en
10157,1,viscose,en
10692,1,vitamins for the food industry,en
10702,1,vitamins for use in the manufacture of cosmetics,en
10691,1,vitamins for use in the manufacture of food supplements,en
10701,1,vitamins for use in the manufacture of pharmaceuticals,en
10005,1,vulcanization accelerators,en
10549,1,vulcanizing preparations,en
10653,1,wallpaper removing preparations,en
10544,1,water glass [soluble glass],en
10608,1,water-purifying chemicals,en
10023,1,water-softening preparations,en
10128,1,wax-bleaching chemicals,en
10205,1,wine finings,en
10550,1,witherite,en
10131,1,wood alcohol,en
10132,1,wood pulp,en
10133,1,wood vinegar [pyroligneous acid] / pyroligneous acid [wood vinegar],en
10464,1,"X-ray films, sensitized but not exposed",en
10551,1,xenon,en
10712,1,xylene,en
10711,1,xylol,en
10724,1,yeast for scientific purposes,en
10725,1,yeast for use in biofuel production,en
10552,1,ytterbium,en
10553,1,yttrium,en
10556,1,zirconia,en
20006,2,alizarine dyes,en
20007,2,aluminium paints,en
20008,2,aluminium powder for painting,en
20052,2,aniline dyes,en
20098,2,annotto [dyestuff] / annatto [dyestuff],en
20021,2,anti-corrosive bands,en
20010,2,anti-corrosive preparations,en
20122,2,anti-fouling paints,en
20131,2,anti-graffiti coatings [paints],en
20079,2,anti-rust greases,en
20083,2,anti-rust oils,en
20107,2,anti-rust preparations,en
20093,2,anti-tarnishing preparations for metals,en
20135,2,anti-urine paints,en
20009,2,asbestos paints,en
20018,2,auramine,en
20019,2,bactericidal paints,en
20020,2,badigeon,en
20087,2,binding preparations for paints / agglutinants for paints,en
20025,2,bitumen varnish,en
20017,2,black japan,en
20032,2,bronze powder for painting,en
20031,2,bronzing lacquers,en
20022,2,Canada balsam,en
20034,2,caramel [food colouring] / caramel [food coloring],en
20039,2,carbon black [pigment],en
20113,2,carbonyl for wood preservation,en
20037,2,ceramic paints,en
20070,2,coatings [paints],en
20036,2,coatings for roofing felt [paints],en
20044,2,cobalt oxide [colorant],en
20045,2,cochineal carmine,en
20046,2,colophony*,en
20130,2,colorants for the restoration of furniture in the form of markers,en
20047,2,colorants*,en
20024,2,colourings for beer / colorings for beer,en
20004,2,colourings for beverages / colorings for beverages,en
20023,2,colourings for butter / colorings for butter,en
20088,2,colourings for liqueurs / colorings for liqueurs,en
20137,2,conductive inks,en
20136,2,conductive paints,en
20050,2,copal,en
20114,2,copal varnish,en
20056,2,creosote for wood preservation,en
20062,2,distempers,en
20058,2,dyes*,en
20139,2,dyestuffs,en
20111,2,dyewood / dye-wood,en
20112,2,dyewood extracts / wood dyestuffs,en
20129,2,"edible ink cartridges, filled, for printers",en
20128,2,edible inks,en
20064,2,enamels [varnishes],en
20065,2,enamels for painting / enamel paints,en
20080,2,engraving ink,en
20085,2,fireproof paints,en
20072,2,fixatives [varnishes],en
20011,2,fixatives for watercolours / fixatives for watercolors,en
20005,2,food colouring / food coloring,en
20076,2,gamboge for painting,en
20075,2,"glazes [paints, lacquers]",en
20140,2,glitter for use in paint,en
